Item_Description;Amount;Traffic_Source;Session_Duration
Backpack;125;Direct;522
Google Hoodie;124;Referral;570
Lanyard;6;Organic Search;2745
Google Hoodie;124;Organic Search;2611
Canvas Tote;18;Organic Search;933
Notebook;20;Paid Search;749
Google Water Bottle;10;Organic Search;2255
Android T-Shirt;20;Referral;2395
Puffer Vest;115;Paid Search;2044
Greeting Cards;6;Organic Search;2820
Lanyard;6;Direct;2298
Google Stickers;5;Direct;1134
Puffer Vest;115;Referral;1489
Lanyard;6;Organic Search;1628
Google Hoodie;124;Organic Search;2914
YouTube Cap;15;Social Media;1871
Google Water Bottle;10;Social Media;1943
Google Stickers;5;Organic Search;3049
Google Stickers;5;Direct;3029
Lanyard;6;Organic Search;3522
Canvas Tote;18;Direct;3426
Google Stickers;5;Referral;3065
Google Hoodie;124;Social Media;3446
Backpack;125;Referral;3295
Canvas Tote;18;Referral;1737
Google Stickers;5;Direct;1311
Google Stickers;5;Direct;237
YouTube Cap;15;Social Media;823
Greeting Cards;6;Direct;1388
Google Stickers;5;Social Media;623
Google Stickers;5;Organic Search;3001
Backpack;125;Organic Search;2750
Google Hoodie;124;Social Media;1057
Google Hoodie;124;Referral;657
Backpack;125;Direct;1734
Google Hoodie;124;Referral;1894
Google Hoodie;124;Social Media;3118
Backpack;125;Referral;2561
Notebook;20;Organic Search;2962
Notebook;20;Social Media;3517
YouTube Cap;15;Organic Search;2793
Google Hoodie;124;Direct;1066
Notebook;20;Direct;785
Google Stickers;5;Social Media;197
Backpack;125;Social Media;2558
Lanyard;6;Direct;996
Canvas Tote;18;Organic Search;152
Backpack;125;Organic Search;418
Android T-Shirt;20;Paid Search;2345
Google Stickers;5;Paid Search;2817
Notebook;20;Organic Search;3071
Notebook;20;Direct;1080
Greeting Cards;6;Referral;676
Puffer Vest;115;Organic Search;1611
Google Hoodie;124;Direct;2865
Google Hoodie;124;Direct;242
Google Stickers;5;Organic Search;2814
Android T-Shirt;20;Organic Search;2151
Android T-Shirt;20;Organic Search;713
Google Stickers;5;Referral;2112
Canvas Tote;18;Social Media;1386
Google Stickers;5;Social Media;3009
Google Stickers;5;Direct;2626
YouTube Cap;15;Paid Search;2097
Google Stickers;5;Social Media;2195
YouTube Cap;15;Direct;3274
Google Hoodie;124;Paid Search;1179
Notebook;20;Paid Search;3085
Google Hoodie;124;Referral;129
Google Water Bottle;10;Direct;3586
Google Hoodie;124;Paid Search;2831
Google Stickers;5;Direct;3362
Google Stickers;5;Organic Search;719
Google Stickers;5;Direct;1141
Google Stickers;5;Paid Search;3557
Google Water Bottle;10;Direct;3227
Android T-Shirt;20;Social Media;166
Google Hoodie;124;Referral;358
Google Stickers;5;Social Media;2786
Android T-Shirt;20;Social Media;1345
Lanyard;6;Referral;1778
Google Stickers;5;Direct;1712
Google Water Bottle;10;Referral;2058
Android T-Shirt;20;Paid Search;2808
Google Hoodie;124;Referral;1666
Canvas Tote;18;Referral;2661
Backpack;125;Direct;2928
Google Stickers;5;Paid Search;2609
Google Water Bottle;10;Organic Search;399
Google Hoodie;124;Direct;3581
Notebook;20;Direct;1719
Google Stickers;5;Paid Search;1258
Backpack;125;Paid Search;2223
Google Stickers;5;Paid Search;3095
Backpack;125;Direct;3358
Notebook;20;Organic Search;1279
Google Stickers;5;Paid Search;676
Google Stickers;5;Organic Search;3038
Google Stickers;5;Organic Search;2809
Google Hoodie;124;Social Media;3375
Google Stickers;5;Paid Search;3149
Greeting Cards;6;Referral;1752
Google Stickers;5;Direct;76
YouTube Cap;15;Social Media;1500
Google Stickers;5;Referral;85
Google Stickers;5;Paid Search;2662
YouTube Cap;15;Social Media;2333
Google Stickers;5;Organic Search;1659
Google Stickers;5;Paid Search;1632
Puffer Vest;115;Paid Search;53
Greeting Cards;6;Social Media;1750
Google Stickers;5;Social Media;526
Google Hoodie;124;Social Media;1339
Notebook;20;Social Media;3517
Greeting Cards;6;Referral;802
Google Stickers;5;Direct;598
Google Hoodie;124;Social Media;2087
YouTube Cap;15;Organic Search;2342
Greeting Cards;6;Organic Search;3072
Google Water Bottle;10;Direct;1977
Google Hoodie;124;Organic Search;1114
Google Stickers;5;Paid Search;304
Greeting Cards;6;Referral;1144
Greeting Cards;6;Social Media;142
Lanyard;6;Organic Search;878
Puffer Vest;115;Social Media;3465
Google Stickers;5;Social Media;274
Google Stickers;5;Referral;3416
Greeting Cards;6;Direct;2242
Google Stickers;5;Direct;850
Lanyard;6;Paid Search;3275
Lanyard;6;Organic Search;1357
Google Water Bottle;10;Direct;242
Google Hoodie;124;Organic Search;1278
Canvas Tote;18;Social Media;1718
Google Stickers;5;Direct;1209
Greeting Cards;6;Paid Search;2461
Notebook;20;Social Media;1900
Notebook;20;Paid Search;1542
Google Stickers;5;Paid Search;1794
Google Water Bottle;10;Social Media;620
Canvas Tote;18;Direct;503
Google Stickers;5;Paid Search;2276
Google Stickers;5;Paid Search;3269
YouTube Cap;15;Organic Search;3125
Puffer Vest;115;Social Media;3521
Google Stickers;5;Paid Search;1311
Google Stickers;5;Direct;931
Puffer Vest;115;Paid Search;3093
YouTube Cap;15;Organic Search;897
Android T-Shirt;20;Organic Search;1703
Google Stickers;5;Direct;2230
Lanyard;6;Organic Search;618
Google Stickers;5;Referral;373
Google Stickers;5;Social Media;3299
Google Stickers;5;Social Media;1654
Google Stickers;5;Organic Search;2799
YouTube Cap;15;Referral;3524
Backpack;125;Paid Search;5
Lanyard;6;Referral;886
Google Stickers;5;Direct;1805
Google Hoodie;124;Organic Search;2087
Lanyard;6;Paid Search;3065
Canvas Tote;18;Social Media;2506
Puffer Vest;115;Organic Search;1194
Google Stickers;5;Paid Search;1009
Backpack;125;Paid Search;1865
YouTube Cap;15;Referral;780
Google Hoodie;124;Social Media;207
Notebook;20;Direct;73
YouTube Cap;15;Referral;672
Google Stickers;5;Referral;3259
Notebook;20;Organic Search;2532
Google Stickers;5;Referral;1538
Canvas Tote;18;Referral;3492
Android T-Shirt;20;Direct;2282
Puffer Vest;115;Social Media;312
Greeting Cards;6;Referral;1885
Google Stickers;5;Referral;1707
Google Water Bottle;10;Social Media;3029
Android T-Shirt;20;Paid Search;2068
Google Stickers;5;Paid Search;833
Google Hoodie;124;Paid Search;1415
Google Stickers;5;Referral;262
Google Stickers;5;Organic Search;396
Google Hoodie;124;Paid Search;2129
Google Stickers;5;Organic Search;1416
Google Stickers;5;Direct;902
Google Water Bottle;10;Paid Search;780
Backpack;125;Organic Search;3590
Android T-Shirt;20;Social Media;1251
Puffer Vest;115;Social Media;2209
Notebook;20;Social Media;178
Google Hoodie;124;Social Media;2456
Greeting Cards;6;Paid Search;3190
Google Stickers;5;Paid Search;1072
Google Stickers;5;Social Media;985
Google Stickers;5;Referral;1734
Greeting Cards;6;Social Media;1519
Google Hoodie;124;Organic Search;2426
Google Water Bottle;10;Social Media;313
Google Hoodie;124;Paid Search;683
Google Stickers;5;Social Media;1151
Google Stickers;5;Social Media;3140
Puffer Vest;115;Paid Search;190
Google Stickers;5;Direct;2151
Puffer Vest;115;Direct;151
Google Stickers;5;Organic Search;64
Lanyard;6;Social Media;1134
Google Stickers;5;Paid Search;2244
Google Stickers;5;Organic Search;2223
Google Stickers;5;Referral;3272
Google Stickers;5;Direct;3068
Notebook;20;Referral;317
Google Hoodie;124;Direct;1560
Google Stickers;5;Referral;1986
Google Stickers;5;Social Media;3439
Google Stickers;5;Organic Search;490
Puffer Vest;115;Direct;1032
Greeting Cards;6;Direct;600
Google Hoodie;124;Referral;2297
Google Stickers;5;Referral;1107
Notebook;20;Social Media;865
Notebook;20;Direct;2382
YouTube Cap;15;Social Media;2974
Google Stickers;5;Referral;641
Google Stickers;5;Social Media;781
Google Hoodie;124;Referral;3149
Android T-Shirt;20;Referral;1555
Greeting Cards;6;Paid Search;3485
YouTube Cap;15;Direct;920
Notebook;20;Social Media;2796
Notebook;20;Direct;2270
Google Stickers;5;Social Media;3208
Canvas Tote;18;Referral;1786
Google Stickers;5;Referral;2935
Google Stickers;5;Organic Search;620
Puffer Vest;115;Paid Search;41
Notebook;20;Referral;3528
Google Water Bottle;10;Paid Search;1864
Lanyard;6;Social Media;3226
Backpack;125;Direct;346
Google Stickers;5;Organic Search;3536
Google Stickers;5;Direct;3493
Backpack;125;Social Media;1102
Google Stickers;5;Social Media;1534
Google Stickers;5;Referral;1826
Google Stickers;5;Referral;129
Google Stickers;5;Social Media;2916
Google Stickers;5;Paid Search;1794
Backpack;125;Paid Search;1625
Google Stickers;5;Referral;2581
Notebook;20;Referral;336
Backpack;125;Paid Search;3191
Google Stickers;5;Paid Search;1440
Google Hoodie;124;Referral;162
Canvas Tote;18;Direct;810
Google Water Bottle;10;Referral;1891
Lanyard;6;Social Media;2803
Lanyard;6;Social Media;1143
YouTube Cap;15;Direct;247
Google Stickers;5;Referral;1330
Google Stickers;5;Social Media;749
Canvas Tote;18;Direct;1508
Greeting Cards;6;Paid Search;3378
Google Hoodie;124;Social Media;565
Android T-Shirt;20;Organic Search;1900
Google Stickers;5;Social Media;875
Google Water Bottle;10;Referral;1597
Google Hoodie;124;Direct;2398
Google Stickers;5;Direct;2314
Puffer Vest;115;Organic Search;2805
Backpack;125;Direct;1153
Canvas Tote;18;Social Media;2082
Lanyard;6;Social Media;3593
Google Stickers;5;Social Media;1114
Google Water Bottle;10;Organic Search;467
Google Hoodie;124;Direct;679
Greeting Cards;6;Paid Search;3086
Google Stickers;5;Referral;2421
Canvas Tote;18;Direct;2120
YouTube Cap;15;Direct;422
Notebook;20;Referral;3036
Google Stickers;5;Referral;1102
Notebook;20;Referral;1164
Google Hoodie;124;Social Media;1826
Google Stickers;5;Social Media;3152
Canvas Tote;18;Referral;221
Google Hoodie;124;Direct;1967
Google Stickers;5;Direct;184
Puffer Vest;115;Organic Search;2922
Backpack;125;Direct;422
YouTube Cap;15;Paid Search;2565
Puffer Vest;115;Referral;368
Google Hoodie;124;Organic Search;2602
Google Stickers;5;Organic Search;3462
Google Hoodie;124;Social Media;1781
Google Stickers;5;Organic Search;2527
Lanyard;6;Organic Search;2067
Google Hoodie;124;Organic Search;2615
Google Stickers;5;Direct;1246
Google Stickers;5;Direct;3230
Google Stickers;5;Direct;1574
Greeting Cards;6;Organic Search;29
Google Stickers;5;Organic Search;2319
Lanyard;6;Social Media;487
Google Stickers;5;Referral;3297
Google Hoodie;124;Social Media;2395
Puffer Vest;115;Social Media;1666
Puffer Vest;115;Organic Search;544
Google Stickers;5;Direct;1159
Google Stickers;5;Social Media;2112
Google Stickers;5;Direct;39
Google Stickers;5;Paid Search;1473
Google Hoodie;124;Paid Search;2422
Lanyard;6;Social Media;1000
Google Stickers;5;Direct;2153
Google Stickers;5;Direct;2456
Puffer Vest;115;Direct;3244
Google Stickers;5;Referral;2501
Google Hoodie;124;Social Media;3301
Canvas Tote;18;Paid Search;76
Notebook;20;Referral;534
Google Hoodie;124;Referral;2483
Google Stickers;5;Direct;3578
Google Stickers;5;Organic Search;612
YouTube Cap;15;Referral;1583
Google Stickers;5;Social Media;528
Backpack;125;Paid Search;1508
Google Stickers;5;Direct;2247
Google Hoodie;124;Paid Search;2405
Google Stickers;5;Social Media;1214
Google Stickers;5;Organic Search;3542
Google Hoodie;124;Paid Search;273
Google Stickers;5;Social Media;2749
Google Stickers;5;Social Media;922
Google Stickers;5;Direct;2503
Google Stickers;5;Paid Search;1980
Google Stickers;5;Referral;1139
Android T-Shirt;20;Referral;870
Google Stickers;5;Social Media;1705
Lanyard;6;Social Media;2437
Backpack;125;Direct;2518
Google Hoodie;124;Referral;727
Google Stickers;5;Social Media;2266
YouTube Cap;15;Referral;794
Google Stickers;5;Referral;3034
Google Stickers;5;Organic Search;1514
YouTube Cap;15;Organic Search;526
Notebook;20;Paid Search;2864
Lanyard;6;Direct;1538
Google Hoodie;124;Social Media;2271
Google Stickers;5;Social Media;41
Google Water Bottle;10;Social Media;1807
YouTube Cap;15;Organic Search;2144
Android T-Shirt;20;Social Media;133
Backpack;125;Direct;1082
Google Stickers;5;Organic Search;3032
Google Stickers;5;Paid Search;902
Notebook;20;Social Media;1436
Google Hoodie;124;Paid Search;3009
Google Stickers;5;Paid Search;1411
Notebook;20;Paid Search;1320
Android T-Shirt;20;Direct;3492
Puffer Vest;115;Paid Search;3236
Lanyard;6;Organic Search;3432
Google Stickers;5;Referral;2486
Android T-Shirt;20;Social Media;1631
Google Water Bottle;10;Social Media;2382
Google Hoodie;124;Organic Search;3068
Google Stickers;5;Referral;1235
Google Hoodie;124;Social Media;76
Greeting Cards;6;Organic Search;3524
Android T-Shirt;20;Paid Search;1436
Greeting Cards;6;Organic Search;3018
Google Water Bottle;10;Referral;2234
Google Stickers;5;Direct;2935
Android T-Shirt;20;Organic Search;1411
Google Stickers;5;Direct;2082
Google Stickers;5;Social Media;3147
Google Stickers;5;Paid Search;3008
Google Stickers;5;Organic Search;755
Google Water Bottle;10;Paid Search;3519
Google Stickers;5;Referral;2456
Google Hoodie;124;Social Media;503
Notebook;20;Direct;120
Canvas Tote;18;Direct;1243
Puffer Vest;115;Referral;2402
Google Stickers;5;Organic Search;358
Google Stickers;5;Paid Search;2971
Google Stickers;5;Direct;392
Google Stickers;5;Referral;2836
Lanyard;6;Direct;2850
Canvas Tote;18;Paid Search;1771
Google Stickers;5;Organic Search;385
Greeting Cards;6;Social Media;2316
Notebook;20;Social Media;1374
Google Water Bottle;10;Social Media;2124
Google Water Bottle;10;Organic Search;1363
Lanyard;6;Direct;1447
Google Hoodie;124;Social Media;1933
Canvas Tote;18;Organic Search;534
Google Stickers;5;Direct;1831
Google Hoodie;124;Social Media;429
Google Stickers;5;Referral;2236
Google Water Bottle;10;Referral;3370
Backpack;125;Social Media;2781
Canvas Tote;18;Paid Search;1116
Greeting Cards;6;Referral;3149
Google Hoodie;124;Paid Search;1436
Puffer Vest;115;Direct;2903
Google Stickers;5;Social Media;2387
Google Stickers;5;Organic Search;2944
Notebook;20;Direct;1343
Google Stickers;5;Direct;3033
Canvas Tote;18;Referral;2556
Google Stickers;5;Paid Search;403
Notebook;20;Direct;2405
Lanyard;6;Direct;2444
Puffer Vest;115;Paid Search;889
Google Stickers;5;Social Media;3431
Google Stickers;5;Organic Search;3068
Puffer Vest;115;Social Media;2762
Puffer Vest;115;Referral;3517
Google Stickers;5;Social Media;2543
Google Stickers;5;Organic Search;2188
Backpack;125;Referral;613
Canvas Tote;18;Direct;1685
Google Stickers;5;Paid Search;144
Canvas Tote;18;Direct;2600
Google Stickers;5;Social Media;1471
Google Water Bottle;10;Organic Search;2221
Canvas Tote;18;Referral;1950
Backpack;125;Social Media;2841
Google Stickers;5;Organic Search;3436
Google Hoodie;124;Referral;1782
Backpack;125;Organic Search;1187
Canvas Tote;18;Direct;2179
Canvas Tote;18;Social Media;2374
Greeting Cards;6;Direct;1956
Google Stickers;5;Paid Search;528
Greeting Cards;6;Direct;1951
Lanyard;6;Paid Search;575
Google Hoodie;124;Social Media;3570
Google Stickers;5;Organic Search;2242
Google Stickers;5;Social Media;2285
Google Stickers;5;Paid Search;3250
Puffer Vest;115;Direct;873
Google Stickers;5;Paid Search;568
Google Hoodie;124;Referral;3435
Android T-Shirt;20;Paid Search;1516
Google Water Bottle;10;Organic Search;3332
Puffer Vest;115;Direct;3295
Canvas Tote;18;Social Media;1967
Greeting Cards;6;Direct;2820
Greeting Cards;6;Direct;3229
Greeting Cards;6;Organic Search;372
YouTube Cap;15;Direct;3066
Backpack;125;Social Media;1184
YouTube Cap;15;Referral;3523
Google Stickers;5;Paid Search;2166
Android T-Shirt;20;Referral;3525
Puffer Vest;115;Direct;2776
Google Water Bottle;10;Paid Search;3208
Google Stickers;5;Organic Search;120
Android T-Shirt;20;Social Media;1889
Google Stickers;5;Organic Search;3447
Puffer Vest;115;Referral;23
YouTube Cap;15;Direct;2778
Google Stickers;5;Social Media;3013
Google Water Bottle;10;Referral;368
Canvas Tote;18;Direct;2710
Notebook;20;Paid Search;3333
Google Stickers;5;Direct;1673
Notebook;20;Direct;1795
YouTube Cap;15;Organic Search;1133
Google Hoodie;124;Referral;2969
Lanyard;6;Social Media;2932
Google Stickers;5;Social Media;570
Lanyard;6;Direct;1243
Google Stickers;5;Organic Search;210
Notebook;20;Direct;20
Notebook;20;Referral;3581
Google Stickers;5;Referral;133
Greeting Cards;6;Organic Search;3128
Google Stickers;5;Referral;1401
Google Stickers;5;Direct;3310
Canvas Tote;18;Organic Search;1323
Backpack;125;Direct;1705
Google Hoodie;124;Paid Search;319
Google Stickers;5;Referral;2112
Google Hoodie;124;Organic Search;95
Backpack;125;Organic Search;2985
Backpack;125;Paid Search;1393
Puffer Vest;115;Social Media;355
Google Stickers;5;Direct;827
Google Stickers;5;Social Media;1970
Google Stickers;5;Organic Search;896
Google Stickers;5;Paid Search;225
Notebook;20;Paid Search;161
Google Stickers;5;Direct;507
Google Hoodie;124;Direct;3428
Google Stickers;5;Direct;3439
Google Stickers;5;Referral;2831
Greeting Cards;6;Social Media;2966
Google Stickers;5;Direct;612
Google Stickers;5;Direct;561
Lanyard;6;Direct;180
Puffer Vest;115;Direct;2723
Canvas Tote;18;Social Media;2221
Android T-Shirt;20;Paid Search;955
Google Stickers;5;Paid Search;1882
YouTube Cap;15;Direct;240
Puffer Vest;115;Paid Search;2399
Google Stickers;5;Paid Search;1789
Notebook;20;Paid Search;2187
Google Stickers;5;Referral;3565
Google Stickers;5;Social Media;1779
Google Stickers;5;Referral;1784
Lanyard;6;Social Media;262
Android T-Shirt;20;Referral;2967
Canvas Tote;18;Direct;2471
Google Hoodie;124;Social Media;179
Puffer Vest;115;Direct;2973
Google Stickers;5;Paid Search;1389
Greeting Cards;6;Organic Search;2548
YouTube Cap;15;Organic Search;2331
Notebook;20;Social Media;1990
Puffer Vest;115;Referral;2914
Google Stickers;5;Paid Search;2899
Notebook;20;Direct;584
Canvas Tote;18;Paid Search;2173
Google Hoodie;124;Organic Search;2280
Google Stickers;5;Direct;1605
Google Stickers;5;Paid Search;232
Greeting Cards;6;Organic Search;458
Canvas Tote;18;Referral;1646
Google Hoodie;124;Social Media;3129
Lanyard;6;Social Media;1156
Android T-Shirt;20;Paid Search;1885
Notebook;20;Social Media;1344
Google Stickers;5;Social Media;2144
Google Stickers;5;Social Media;2724
Puffer Vest;115;Paid Search;977
Google Stickers;5;Direct;565
Android T-Shirt;20;Social Media;3320
Notebook;20;Referral;292
YouTube Cap;15;Referral;2452
Google Hoodie;124;Paid Search;3031
Backpack;125;Direct;1388
Notebook;20;Referral;3519
Canvas Tote;18;Paid Search;2146
Canvas Tote;18;Direct;3561
Puffer Vest;115;Referral;1248
Canvas Tote;18;Paid Search;2778
Android T-Shirt;20;Paid Search;3442
Google Hoodie;124;Social Media;1880
Google Stickers;5;Paid Search;1060
Canvas Tote;18;Direct;3316
Puffer Vest;115;Paid Search;597
YouTube Cap;15;Direct;1927
Backpack;125;Social Media;2827
Google Stickers;5;Organic Search;1454
Google Stickers;5;Paid Search;1574
Google Stickers;5;Paid Search;3524
Google Stickers;5;Paid Search;1253
Google Hoodie;124;Referral;1939
Google Stickers;5;Direct;3149
Google Stickers;5;Direct;494
Backpack;125;Direct;2788
Google Stickers;5;Organic Search;407
Google Hoodie;124;Social Media;355
Greeting Cards;6;Social Media;2679
Notebook;20;Social Media;3286
Google Stickers;5;Direct;889
Google Stickers;5;Social Media;3294
Google Stickers;5;Direct;2249
Backpack;125;Organic Search;2398
Puffer Vest;115;Social Media;2097
Google Stickers;5;Direct;3065
Backpack;125;Referral;2885
Google Stickers;5;Paid Search;2082
Google Stickers;5;Organic Search;1636
Puffer Vest;115;Organic Search;3432
Greeting Cards;6;Organic Search;1276
Google Hoodie;124;Organic Search;403
Google Stickers;5;Social Media;1393
Lanyard;6;Direct;1448
Notebook;20;Paid Search;3209
Greeting Cards;6;Direct;301
Backpack;125;Paid Search;1054
Google Stickers;5;Social Media;2200
Notebook;20;Paid Search;1868
Google Water Bottle;10;Social Media;3394
Google Stickers;5;Social Media;2748
Lanyard;6;Paid Search;3351
YouTube Cap;15;Direct;2244
Android T-Shirt;20;Organic Search;198
Notebook;20;Organic Search;3327
Greeting Cards;6;Paid Search;738
Greeting Cards;6;Direct;2965
YouTube Cap;15;Organic Search;368
Lanyard;6;Referral;2885
Google Stickers;5;Paid Search;3414
Canvas Tote;18;Referral;537
Google Stickers;5;Paid Search;3349
Canvas Tote;18;Referral;3517
Google Water Bottle;10;Referral;536
Greeting Cards;6;Paid Search;1878
Google Stickers;5;Paid Search;2780
Google Stickers;5;Paid Search;431
Google Stickers;5;Referral;3353
Google Hoodie;124;Paid Search;838
Backpack;125;Paid Search;922
Lanyard;6;Organic Search;3312
Google Hoodie;124;Social Media;2332
Canvas Tote;18;Organic Search;707
Android T-Shirt;20;Direct;268
Google Hoodie;124;Paid Search;3250
Google Stickers;5;Organic Search;963
Puffer Vest;115;Paid Search;2725
Lanyard;6;Referral;1722
Greeting Cards;6;Direct;1555
Google Hoodie;124;Direct;2100
YouTube Cap;15;Direct;2625
YouTube Cap;15;Direct;1250
Notebook;20;Social Media;1363
Google Stickers;5;Social Media;3237
Lanyard;6;Organic Search;106
Greeting Cards;6;Paid Search;1719
YouTube Cap;15;Paid Search;1580
Puffer Vest;115;Organic Search;1229
Google Hoodie;124;Paid Search;223
Google Stickers;5;Referral;2675
Google Stickers;5;Social Media;1177
Canvas Tote;18;Organic Search;1977
Android T-Shirt;20;Organic Search;2307
Lanyard;6;Organic Search;1009
Notebook;20;Direct;663
Google Stickers;5;Social Media;594
Backpack;125;Organic Search;2639
Google Stickers;5;Direct;903
Google Stickers;5;Social Media;469
Greeting Cards;6;Organic Search;1678
Canvas Tote;18;Referral;3136
Lanyard;6;Direct;3448
Backpack;125;Referral;3416
Canvas Tote;18;Direct;23
Google Stickers;5;Referral;489
Google Stickers;5;Direct;1605
Google Stickers;5;Organic Search;19
Android T-Shirt;20;Referral;1134
Lanyard;6;Direct;256
YouTube Cap;15;Organic Search;2835
Google Stickers;5;Direct;238
Puffer Vest;115;Organic Search;765
Google Stickers;5;Social Media;142
Google Stickers;5;Social Media;2470
Google Stickers;5;Paid Search;454
Puffer Vest;115;Direct;198
Google Hoodie;124;Social Media;3179
Google Stickers;5;Referral;475
Backpack;125;Social Media;3165
Google Stickers;5;Direct;313
Puffer Vest;115;Referral;2187
Google Hoodie;124;Referral;2015
Notebook;20;Social Media;1250
Google Stickers;5;Referral;1299
Google Water Bottle;10;Direct;1630
Lanyard;6;Referral;917
Puffer Vest;115;Organic Search;1069
Canvas Tote;18;Paid Search;3400
Greeting Cards;6;Referral;76
YouTube Cap;15;Paid Search;3098
Lanyard;6;Organic Search;65
Greeting Cards;6;Referral;883
Greeting Cards;6;Paid Search;82
Google Stickers;5;Direct;142
Google Stickers;5;Social Media;3048
Greeting Cards;6;Social Media;2630
Google Hoodie;124;Direct;883
Backpack;125;Organic Search;3058
Google Stickers;5;Social Media;1361
Canvas Tote;18;Paid Search;710
Android T-Shirt;20;Direct;1900
YouTube Cap;15;Organic Search;1900
Greeting Cards;6;Organic Search;323
Google Stickers;5;Paid Search;523
Google Stickers;5;Organic Search;1618
Puffer Vest;115;Social Media;3164
Android T-Shirt;20;Direct;1805
Google Hoodie;124;Paid Search;516
Google Hoodie;124;Social Media;2276
Google Stickers;5;Organic Search;2525
Google Stickers;5;Organic Search;1727
Google Stickers;5;Paid Search;1105
Lanyard;6;Organic Search;3534
YouTube Cap;15;Direct;355
Backpack;125;Social Media;1644
Lanyard;6;Paid Search;3119
Puffer Vest;115;Direct;2974
Google Hoodie;124;Social Media;402
Canvas Tote;18;Referral;1227
Backpack;125;Direct;1786
Google Stickers;5;Direct;865
Android T-Shirt;20;Paid Search;537
Google Hoodie;124;Paid Search;2661
Google Stickers;5;Organic Search;1204
Android T-Shirt;20;Direct;503
Notebook;20;Social Media;277
Canvas Tote;18;Referral;1881
Google Stickers;5;Organic Search;784
Backpack;125;Social Media;439
Backpack;125;Referral;3534
Lanyard;6;Organic Search;3349
Google Stickers;5;Direct;1194
Google Hoodie;124;Social Media;355
Android T-Shirt;20;Social Media;3024
Google Stickers;5;Paid Search;1839
Google Stickers;5;Referral;2242
Google Stickers;5;Direct;2318
Canvas Tote;18;Organic Search;1127
Canvas Tote;18;Direct;1320
Google Stickers;5;Paid Search;794
Google Stickers;5;Direct;683
Google Hoodie;124;Social Media;1989
Backpack;125;Organic Search;259
Google Water Bottle;10;Direct;460
Google Stickers;5;Direct;2099
Notebook;20;Referral;1967
Google Water Bottle;10;Social Media;1
YouTube Cap;15;Direct;633
Google Stickers;5;Organic Search;1230
Google Water Bottle;10;Direct;2950
Google Stickers;5;Organic Search;23
Google Stickers;5;Paid Search;3249
Puffer Vest;115;Referral;677
Google Stickers;5;Direct;657
Backpack;125;Referral;2922
Puffer Vest;115;Referral;1659
Google Stickers;5;Social Media;1846
Google Stickers;5;Direct;1456
Canvas Tote;18;Referral;2675
Android T-Shirt;20;Referral;1503
